catalyst,AB,YB,AB_synth,YB_synth
A11Y6B2,A11B2,Y6B2,2,0
A12Y6B2,A12B2,Y6B2,6,0
A13Y6B2,A13B2,Y6B2,2,0
A14Y6B2,A14B2,Y6B2,2,0
A15Y6B2,A15B2,Y6B2,10,0
A16Y6B2,A16B2,Y6B2,2,0
A2Y6B2,A2B2,Y6B2,0,0
A3Y6B2,A3B2,Y6B2,0,0
A4Y6B2,A4B2,Y6B2,2,0
A5Y6B2,A5B2,Y6B2,2,0
A6Y6B2,A6B2,Y6B2,2,0
A7Y6B2,A7B2,Y6B2,2,0
A8Y6B2,A8B2,Y6B2,2,0
A9Y6B2,A9B2,Y6B2,2,0
A1Y6B3,A1B3,Y6B3,0,4
A10Y6B3,A10B3,Y6B3,6,4
A11Y6B3,A11B3,Y6B3,2,4
A12Y6B3,A12B3,Y6B3,6,4
A13Y6B3,A13B3,Y6B3,2,4
A14Y6B3,A14B3,Y6B3,2,4
A15Y6B3,A15B3,Y6B3,10,4
A16Y6B3,A16B3,Y6B3,2,4
A2Y6B3,A2B3,Y6B3,0,4
A3Y6B3,A3B3,Y6B3,0,4
A4Y6B3,A4B3,Y6B3,2,4
A5Y6B3,A5B3,Y6B3,2,4
A6Y6B3,A6B3,Y6B3,2,4
A7Y6B3,A7B3,Y6B3,2,4
A8Y6B3,A8B3,Y6B3,2,4
A9Y6B3,A9B3,Y6B3,2,4
A1Y7B1,A1B1,Y7B1,0,0
A10Y7B1,A10B1,Y7B1,6,0
A11Y7B1,A11B1,Y7B1,2,0
A12Y7B1,A12B1,Y7B1,4,0
A13Y7B1,A13B1,Y7B1,2,0
A14Y7B1,A14B1,Y7B1,2,0
A15Y7B1,A15B1,Y7B1,10,0
A16Y7B1,A16B1,Y7B1,0,0
A2Y7B1,A2B1,Y7B1,0,0
A4Y7B1,A4B1,Y7B1,0,0
A5Y7B1,A5B1,Y7B1,2,0
A6Y7B1,A6B1,Y7B1,0,0
A7Y7B1,A7B1,Y7B1,0,0
A8Y7B1,A8B1,Y7B1,2,0
A9Y7B1,A9B1,Y7B1,2,0
A1Y7B2,A1B2,Y7B2,0,8
A10Y7B2,A10B2,Y7B2,6,8
A11Y7B2,A11B2,Y7B2,2,8
A12Y7B2,A12B2,Y7B2,6,8
A13Y7B2,A13B2,Y7B2,2,8
A14Y7B2,A14B2,Y7B2,2,8
A15Y7B2,A15B2,Y7B2,10,8
A16Y7B2,A16B2,Y7B2,2,8
A2Y7B2,A2B2,Y7B2,0,8
A3Y7B2,A3B2,Y7B2,0,8
A4Y7B2,A4B2,Y7B2,2,8
A5Y7B2,A5B2,Y7B2,2,8
A6Y7B2,A6B2,Y7B2,2,8
A7Y7B2,A7B2,Y7B2,2,8
A8Y7B2,A8B2,Y7B2,2,8
A9Y7B2,A9B2,Y7B2,2,8
A1Y7B3,A1B3,Y7B3,0,8
A10Y7B3,A10B3,Y7B3,6,8
A11Y7B3,A11B3,Y7B3,2,8
A12Y7B3,A12B3,Y7B3,6,8
A13Y7B3,A13B3,Y7B3,2,8
A14Y7B3,A14B3,Y7B3,2,8
A15Y7B3,A15B3,Y7B3,10,8
A16Y7B3,A16B3,Y7B3,2,8
A2Y7B3,A2B3,Y7B3,0,8
A3Y7B3,A3B3,Y7B3,0,8
A4Y7B3,A4B3,Y7B3,2,8
A5Y7B3,A5B3,Y7B3,2,8
A6Y7B3,A6B3,Y7B3,2,8
A7Y7B3,A7B3,Y7B3,2,8
A8Y7B3,A8B3,Y7B3,2,8
A9Y7B3,A9B3,Y7B3,2,8
A10Y8B1,A10B1,Y8B1,6,2
A11Y8B1,A11B1,Y8B1,2,2
A12Y8B1,A12B1,Y8B1,4,2
A13Y8B1,A13B1,Y8B1,2,2
A14Y8B1,A14B1,Y8B1,2,2
A15Y8B1,A15B1,Y8B1,10,2
A16Y8B1,A16B1,Y8B1,0,2
A2Y8B1,A2B1,Y8B1,0,2
A4Y8B1,A4B1,Y8B1,0,2
A5Y8B1,A5B1,Y8B1,2,2
A7Y8B1,A7B1,Y8B1,0,2
A8Y8B1,A8B1,Y8B1,2,2
A9Y8B1,A9B1,Y8B1,2,2
A1Y8B2,A1B2,Y8B2,0,4
A10Y8B2,A10B2,Y8B2,6,4
A11Y8B2,A11B2,Y8B2,2,4
A12Y8B2,A12B2,Y8B2,6,4
A13Y8B2,A13B2,Y8B2,2,4
A14Y8B2,A14B2,Y8B2,2,4
A15Y8B2,A15B2,Y8B2,10,4
A16Y8B2,A16B2,Y8B2,2,4
A2Y8B2,A2B2,Y8B2,0,4
A3Y8B2,A3B2,Y8B2,0,4
A4Y8B2,A4B2,Y8B2,2,4
A5Y8B2,A5B2,Y8B2,2,4
A6Y8B2,A6B2,Y8B2,2,4
A7Y8B2,A7B2,Y8B2,2,4
A8Y8B2,A8B2,Y8B2,2,4
A9Y8B2,A9B2,Y8B2,2,4
A1Y8B3,A1B3,Y8B3,0,4
A10Y8B3,A10B3,Y8B3,6,4
A11Y8B3,A11B3,Y8B3,2,4
A12Y8B3,A12B3,Y8B3,6,4
A13Y8B3,A13B3,Y8B3,2,4
A14Y8B3,A14B3,Y8B3,2,4
A15Y8B3,A15B3,Y8B3,10,4
A16Y8B3,A16B3,Y8B3,2,4
A2Y8B3,A2B3,Y8B3,0,4
A3Y8B3,A3B3,Y8B3,0,4
A4Y8B3,A4B3,Y8B3,2,4
A5Y8B3,A5B3,Y8B3,2,4
A6Y8B3,A6B3,Y8B3,2,4
A7Y8B3,A7B3,Y8B3,2,4
A8Y8B3,A8B3,Y8B3,2,4
A9Y8B3,A9B3,Y8B3,2,4
A10Y9B1,A10B1,Y9B1,6,0
A11Y9B1,A11B1,Y9B1,2,0
A12Y9B1,A12B1,Y9B1,4,0
A13Y9B1,A13B1,Y9B1,2,0
A14Y9B1,A14B1,Y9B1,2,0
A15Y9B1,A15B1,Y9B1,10,0
A16Y9B1,A16B1,Y9B1,0,0
A2Y9B1,A2B1,Y9B1,0,0
